İstasyon,Tarih,Akım (m³/s),Enlem,Boylam
D09A065,01.10.2014,0.418,38.3942,31.1269
D09A065,02.10.2014,0.171,38.3942,31.1269
D09A065,03.10.2014,0.171,38.3942,31.1269
D09A065,04.10.2014,0.131,38.3942,31.1269
D09A065,05.10.2014,0.131,38.3942,31.1269
D09A065,06.10.2014,0.095,38.3942,31.1269
D09A065,07.10.2014,0.095,38.3942,31.1269
D09A065,08.10.2014,0.095,38.3942,31.1269
D09A065,09.10.2014,0.067,38.3942,31.1269
D09A065,10.10.2014,0.067,38.3942,31.1269
D09A065,11.10.2014,0.067,38.3942,31.1269
D09A065,12.10.2014,0.045,38.3942,31.1269
D09A065,13.10.2014,0.045,38.3942,31.1269
D09A065,14.10.2014,0.045,38.3942,31.1269
D09A065,15.10.2014,0.045,38.3942,31.1269
D09A065,16.10.2014,0.067,38.3942,31.1269
D09A065,17.10.2014,0.067,38.3942,31.1269
D09A065,18.10.2014,0.045,38.3942,31.1269
D09A065,19.10.2014,0.045,38.3942,31.1269
D09A065,20.10.2014,0.045,38.3942,31.1269
D09A065,21.10.2014,0.045,38.3942,31.1269
D09A065,22.10.2014,0.045,38.3942,31.1269
D09A065,23.10.2014,0.095,38.3942,31.1269
D09A065,24.10.2014,0.045,38.3942,31.1269
D09A065,25.10.2014,0.171,38.3942,31.1269
D09A065,26.10.2014,0.278,38.3942,31.1269
D09A065,27.10.2014,0.171,38.3942,31.1269
D09A065,28.10.2014,0.067,38.3942,31.1269
D09A065,29.10.2014,0.045,38.3942,31.1269
D09A065,30.10.2014,0.045,38.3942,31.1269
D09A065,31.10.2014,0.045,38.3942,31.1269
D09A065,01.11.2014,0.045,38.3942,31.1269
D09A065,02.11.2014,0.045,38.3942,31.1269
D09A065,03.11.2014,0.045,38.3942,31.1269
D09A065,04.11.2014,0.045,38.3942,31.1269
D09A065,05.11.2014,0.045,38.3942,31.1269
D09A065,06.11.2014,0.045,38.3942,31.1269
D09A065,07.11.2014,0.045,38.3942,31.1269
D09A065,08.11.2014,0.067,38.3942,31.1269
D09A065,09.11.2014,0.067,38.3942,31.1269
D09A065,10.11.2014,0.067,38.3942,31.1269
D09A065,11.11.2014,0.067,38.3942,31.1269
D09A065,12.11.2014,0.067,38.3942,31.1269
D09A065,13.11.2014,0.067,38.3942,31.1269
D09A065,14.11.2014,0.067,38.3942,31.1269
D09A065,15.11.2014,0.095,38.3942,31.1269
D09A065,16.11.2014,0.095,38.3942,31.1269
D09A065,17.11.2014,0.095,38.3942,31.1269
D09A065,18.11.2014,0.095,38.3942,31.1269
D09A065,19.11.2014,0.095,38.3942,31.1269
D09A065,20.11.2014,0.067,38.3942,31.1269
D09A065,21.11.2014,0.095,38.3942,31.1269
D09A065,22.11.2014,0.095,38.3942,31.1269
D09A065,23.11.2014,0.095,38.3942,31.1269
D09A065,24.11.2014,0.095,38.3942,31.1269
D09A065,25.11.2014,0.095,38.3942,31.1269
D09A065,26.11.2014,0.095,38.3942,31.1269
D09A065,27.11.2014,0.095,38.3942,31.1269
D09A065,28.11.2014,0.095,38.3942,31.1269
D09A065,29.11.2014,0.095,38.3942,31.1269
D09A065,30.11.2014,0.171,38.3942,31.1269
D09A065,01.12.2014,1.3,38.3942,31.1269
D09A065,02.12.2014,0.688,38.3942,31.1269
D09A065,03.12.2014,0.592,38.3942,31.1269
D09A065,04.12.2014,0.344,38.3942,31.1269
D09A065,05.12.2014,0.278,38.3942,31.1269
D09A065,06.12.2014,0.171,38.3942,31.1269
D09A065,07.12.2014,0.171,38.3942,31.1269
D09A065,08.12.2014,0.223,38.3942,31.1269
D09A065,09.12.2014,0.592,38.3942,31.1269
D09A065,10.12.2014,0.592,38.3942,31.1269
D09A065,11.12.2014,0.344,38.3942,31.1269
D09A065,12.12.2014,0.592,38.3942,31.1269
D09A065,13.12.2014,0.502,38.3942,31.1269
D09A065,14.12.2014,0.344,38.3942,31.1269
D09A065,15.12.2014,0.278,38.3942,31.1269
D09A065,16.12.2014,0.223,38.3942,31.1269
D09A065,17.12.2014,0.223,38.3942,31.1269
D09A065,18.12.2014,0.418,38.3942,31.1269
D09A065,19.12.2014,0.418,38.3942,31.1269
D09A065,20.12.2014,0.278,38.3942,31.1269
D09A065,21.12.2014,0.223,38.3942,31.1269
D09A065,22.12.2014,0.171,38.3942,31.1269
D09A065,23.12.2014,0.171,38.3942,31.1269
D09A065,24.12.2014,0.171,38.3942,31.1269
D09A065,25.12.2014,0.171,38.3942,31.1269
D09A065,26.12.2014,0.131,38.3942,31.1269
D09A065,27.12.2014,0.171,38.3942,31.1269
D09A065,28.12.2014,0.592,38.3942,31.1269
D09A065,29.12.2014,0.418,38.3942,31.1269
D09A065,30.12.2014,1.17,38.3942,31.1269
D09A065,31.12.2014,1.78,38.3942,31.1269
D09A065,01.01.2015,1.61,38.3942,31.1269
D09A065,02.01.2015,0.91,38.3942,31.1269
D09A065,03.01.2015,0.688,38.3942,31.1269
D09A065,04.01.2015,0.592,38.3942,31.1269
D09A065,05.01.2015,0.592,38.3942,31.1269
D09A065,06.01.2015,0.344,38.3942,31.1269
D09A065,07.01.2015,0.223,38.3942,31.1269
D09A065,08.01.2015,0.223,38.3942,31.1269
D09A065,09.01.2015,0.798,38.3942,31.1269
D09A065,10.01.2015,0.798,38.3942,31.1269
D09A065,11.01.2015,0.344,38.3942,31.1269
D09A065,12.01.2015,0.223,38.3942,31.1269
D09A065,13.01.2015,0.91,38.3942,31.1269
D09A065,14.01.2015,0.592,38.3942,31.1269
D09A065,15.01.2015,0.688,38.3942,31.1269
D09A065,16.01.2015,0.592,38.3942,31.1269
D09A065,17.01.2015,0.592,38.3942,31.1269
D09A065,18.01.2015,0.502,38.3942,31.1269
D09A065,19.01.2015,0.502,38.3942,31.1269
D09A065,20.01.2015,0.502,38.3942,31.1269
D09A065,21.01.2015,0.502,38.3942,31.1269
D09A065,22.01.2015,0.502,38.3942,31.1269
D09A065,23.01.2015,0.688,38.3942,31.1269
D09A065,24.01.2015,0.688,38.3942,31.1269
D09A065,25.01.2015,0.688,38.3942,31.1269
D09A065,26.01.2015,0.688,38.3942,31.1269
D09A065,27.01.2015,0.688,38.3942,31.1269
D09A065,28.01.2015,0.798,38.3942,31.1269
D09A065,29.01.2015,0.688,38.3942,31.1269
D09A065,30.01.2015,0.688,38.3942,31.1269
D09A065,31.01.2015,0.91,38.3942,31.1269
D09A065,01.02.2015,1.95,38.3942,31.1269
D09A065,02.02.2015,2.65,38.3942,31.1269
D09A065,03.02.2015,2.85,38.3942,31.1269
D09A065,04.02.2015,1.61,38.3942,31.1269
D09A065,05.02.2015,1.3,38.3942,31.1269
D09A065,06.02.2015,1.3,38.3942,31.1269
D09A065,07.02.2015,1.17,38.3942,31.1269
D09A065,08.02.2015,1.04,38.3942,31.1269
D09A065,09.02.2015,1.04,38.3942,31.1269
D09A065,10.02.2015,1.04,38.3942,31.1269
D09A065,11.02.2015,0.798,38.3942,31.1269
D09A065,12.02.2015,0.798,38.3942,31.1269
D09A065,13.02.2015,0.688,38.3942,31.1269
D09A065,14.02.2015,0.688,38.3942,31.1269
D09A065,15.02.2015,0.688,38.3942,31.1269
D09A065,16.02.2015,0.688,38.3942,31.1269
D09A065,17.02.2015,0.688,38.3942,31.1269
D09A065,18.02.2015,0.592,38.3942,31.1269
D09A065,19.02.2015,0.592,38.3942,31.1269
D09A065,20.02.2015,0.592,38.3942,31.1269
D09A065,21.02.2015,0.592,38.3942,31.1269
D09A065,22.02.2015,0.592,38.3942,31.1269
D09A065,23.02.2015,0.592,38.3942,31.1269
D09A065,24.02.2015,1.04,38.3942,31.1269
D09A065,25.02.2015,1.3,38.3942,31.1269
D09A065,26.02.2015,1.45,38.3942,31.1269
D09A065,27.02.2015,1.78,38.3942,31.1269
D09A065,28.02.2015,2.85,38.3942,31.1269
D09A065,01.03.2015,2.28,38.3942,31.1269
D09A065,02.03.2015,1.78,38.3942,31.1269
D09A065,03.03.2015,1.45,38.3942,31.1269
D09A065,04.03.2015,1.45,38.3942,31.1269
D09A065,05.03.2015,1.3,38.3942,31.1269
D09A065,06.03.2015,1.3,38.3942,31.1269
D09A065,07.03.2015,1.45,38.3942,31.1269
D09A065,08.03.2015,1.95,38.3942,31.1269
D09A065,09.03.2015,2.65,38.3942,31.1269
D09A065,10.03.2015,3.67,38.3942,31.1269
D09A065,11.03.2015,3.45,38.3942,31.1269
D09A065,12.03.2015,2.65,38.3942,31.1269
D09A065,13.03.2015,2.28,38.3942,31.1269
D09A065,14.03.2015,1.95,38.3942,31.1269
D09A065,15.03.2015,2.11,38.3942,31.1269
D09A065,16.03.2015,1.61,38.3942,31.1269
D09A065,17.03.2015,1.45,38.3942,31.1269
D09A065,18.03.2015,1.3,38.3942,31.1269
D09A065,19.03.2015,1.3,38.3942,31.1269
D09A065,20.03.2015,1.17,38.3942,31.1269
D09A065,21.03.2015,0.91,38.3942,31.1269
D09A065,22.03.2015,1.04,38.3942,31.1269
D09A065,23.03.2015,1.04,38.3942,31.1269
D09A065,24.03.2015,1.04,38.3942,31.1269
D09A065,25.03.2015,1.17,38.3942,31.1269
D09A065,26.03.2015,1.78,38.3942,31.1269
D09A065,27.03.2015,4.96,38.3942,31.1269
D09A065,28.03.2015,11.0,38.3942,31.1269
D09A065,29.03.2015,5.17,38.3942,31.1269
D09A065,30.03.2015,3.05,38.3942,31.1269
D09A065,31.03.2015,2.28,38.3942,31.1269
D09A065,01.04.2015,2.11,38.3942,31.1269
D09A065,02.04.2015,1.95,38.3942,31.1269
D09A065,03.04.2015,1.95,38.3942,31.1269
D09A065,04.04.2015,1.95,38.3942,31.1269
D09A065,05.04.2015,1.78,38.3942,31.1269
D09A065,06.04.2015,1.78,38.3942,31.1269
D09A065,07.04.2015,1.78,38.3942,31.1269
D09A065,08.04.2015,1.78,38.3942,31.1269
D09A065,09.04.2015,1.78,38.3942,31.1269
